date,equity_pc_ratio,total_pc_ratio,index_pc_ratio,etp_pc_ratio,vix_pc_ratio,spx_pc_ratio,oex_pc_ratio,mrut_pc_ratio,mxea_pc_ratio,mxef_pc_ratio,mxacw_pc_ratio,mxwld_pc_ratio,mxusa_pc_ratio,cbtx_pc_ratio,mbtx_pc_ratio,speqx_pc_ratio,speqw_pc_ratio,mgtn_pc_ratio,mgtnw_pc_ratio,equity_call,equity_put,equity_total,equity_oi_call,equity_oi_put,equity_oi_total,total_call,total_put,total_total,total_oi_call,total_oi_put,total_oi_total,index_call,index_put,index_total,index_oi_call,index_oi_put,index_oi_total,etp_call,etp_put,etp_total,etp_oi_call,etp_oi_put,etp_oi_total,vix_call,vix_put,vix_total,vix_oi_call,vix_oi_put,vix_oi_total,spx_call,spx_put,spx_total,spx_oi_call,spx_oi_put,spx_oi_total,source
2009-06-19,0.65,0.86,,,,,,,,,,,,,,,,,,2002246,1299064,3301310,,,,3039973,2611502,5651475,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-22,0.72,0.94,,,,,,,,,,,,,,,,,,1410091,1021430,2431521,,,,2198069,2065150,4263219,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-23,0.77,1,,,,,,,,,,,,,,,,,,1238206,948975,2187181,,,,1895438,1891697,3787135,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-24,0.62,0.86,,,,,,,,,,,,,,,,,,1186068,736978,1923046,,,,1859704,1591977,3451681,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-25,0.75,0.9,,,,,,,,,,,,,,,,,,1093439,818402,1911841,,,,1911669,1727314,3638983,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-26,0.71,0.82,,,,,,,,,,,,,,,,,,945218,668993,1614211,,,,1587649,1308645,2896294,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-29,0.72,0.78,,,,,,,,,,,,,,,,,,865313,626463,1491776,,,,1593878,1246053,2839931,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-06-30,0.83,1.07,,,,,,,,,,,,,,,,,,919621,759518,1679139,,,,1686366,1803072,3489438,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-01,0.73,0.8,,,,,,,,,,,,,,,,,,883391,648482,1531873,,,,1707915,1362835,3070750,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-02,0.72,1.06,,,,,,,,,,,,,,,,,,988877,707096,1695973,,,,1688622,1786968,3475590,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-06,0.73,0.87,,,,,,,,,,,,,,,,,,1129520,824841,1954361,,,,1834610,1596389,3430999,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-07,0.86,1.01,,,,,,,,,,,,,,,,,,1083593,931619,2015212,,,,1946056,1973589,3919645,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-08,0.86,1.04,,,,,,,,,,,,,,,,,,1407033,1208051,2615084,,,,2477391,2565264,5042655,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-09,0.79,1.07,,,,,,,,,,,,,,,,,,1013219,803621,1816840,,,,1678061,1787922,3465983,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
2009-07-10,0.77,1.07,,,,,,,,,,,,,,,,,,1018148,783471,1801619,,,,1716943,1829114,3546057,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive
